"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Hulp nodig?</a>"
"Abandoned Orders","Afgebroken bestellingen"
"About Worldline","Over Worldline"
"Activating this option allows the issuer of the customer card to request the 3-D Secure process to be triggered. This means that both the challenge flow (where strong customer authentication is needed) and the frictionless flow (where the issuing bank will take full liability) can be triggered.","Door deze optie te activeren, kan de uitgever van de klantenkaart vragen om het 3-D Secure-proces te activeren. Dit betekent dat zowel de “challenge” stroom (waar sterke klantauthenticatie nodig is) als de “frictionless” stroom (waarbij de uitgevende bank de volledige aansprakelijkheid op zich neemt) kan worden geactiveerd."
"Activating this option will request the issuer to always go for a challenge flow during the 3-D Secure process.","Als u deze optie activeert, wordt de uitgever gevraagd om tijdens het 3-D Secure-proces altijd voor een challenge-flow te gaan."
"Activating this option will request to issuer not to request a strong customer authentication for the payment if the value of the basket is below 30 EUR. This exemption can only be requested for EU customers, as it is linked to the PSD2 European regulation. Note that activating this option will transfer the liability to you, as a merchant, in case of fraud.","Als u deze optie activeert, wordt de uitgever gevraagd om geen sterke klantauthenticatie voor de betaling te vragen als de waarde van het mandje lager is dan 30 EUR. Deze ontheffing kan alleen worden aangevraagd voor EU-klanten, aangezien deze is gekoppeld aan de Europese PSD2-regelgeving. Houd er rekening mee dat het activeren van deze optie de aansprakelijkheid in geval van fraude op u, als handelaar, overdraagt."
"All Allowed Countries","Alle toegestane landen"
"All Allowed Currencies","Alle toegestane munteenheden"
"All Allowed Customer Groups","Alle toegestane klantengroepen"
"American Express","American Express"
"and perform the following steps:","en voer de volgende stappen uit:"
"API Key","API Key"
"API Secret","API Secret"
"Apply Surcharge","Toeslag Toepassen"
"Are you sure you want to do this? All webhook data will be removed.","Weet je zeker dat je dit wilt doen? Alle webhook-gegevens worden verwijderd."
"Attention","Aandacht"
"Authorization Mode","Autorisatiemodus"
"Authorize & Capture","Autoriseren en vastleggen"
"Authorize","Autoriseren"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Automatische annulering van bestellingen die na de opgegeven tijd nog de status Betalingsbeoordeling hebben. De tijd wordt weergegeven in minuten."
"Available Credit Card Types","Beschikbare soorten creditcards"
"Browse our API reference, our documentation and keep yourself up to date with the latest payment trends.","Bekijk onze API-referentie, onze documentatie en blijf op de hoogte van de laatste trends op betalingsgebied."
"Carte Bancaire","Carte Bancaire"
"Check for updates","Controleer op updates"
"Check out documentation","Bekijk documentatie"
"Click on ""GENERATE WEBHOOKS API KEY""","Klik op ""GENERATE WEBHOOKS API KEY"""
"Click on ""SAVE"" to confirm your settings","Klik op ""SAVE"" om de instellingen te bevestigen"
"Click on the link to <a href=""%1"">ignore this notification</a>","Klik op de link naar <a href=""%1"">negeer deze melding</a>"
"Code eci: %1","ECI-code: %1"
"Company Name","Bedrijfsnaam"
"Company Name","Bedrijfsnaam"
"Connection failed! Test again?","Verbinding mislukt! Opnieuw testen?"
"Connection","Verbinding"
"Contact our sales team","Contacteer ons verkoopteam"
"Copy & Paste the WebhooksKeySecret immediately","Kopieer en plak direct het WebhooksKeySecret"
"Create a test account","Maak een testaccount aan"
"Credit Cards (iFrame)","Creditcard"
"Custom Return URL","URL Custom Return"
"Debug","Debuggen"
"Debug","Debuggen"
"Default Order Status","Standaard orderstatus"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Standaardwaarde: elke 5 minuten. <a href=""http://crontab.guru/"" target=""_blank"">Hulp nodig?</a>"
"Diners Club","Diners Club"
"Enable 3-D Secure Authentication","Schakel 3D-beveiligde authenticatie in"
"Enable Module","Module inschakelen"
"Enable Payment","Betaling inschakelen"
"Enable Saved Payment (Vault)","Opgeslagen betaling inschakelen (kluis)"
"Enable Vault for Card Payments","Kluis voor creditcardbetalingen inschakelen"
"Enabling this option will make sure the customer performs a “Strong Customer Authentication” and hence enforces a “challenge” 3DS flow.","Als u deze optie inschakelt, zorgt u ervoor dat de klant een „Strong Customer Authentication“ uitvoert en dus een „challenge“ 3DS-stroom afdwingt."
"ending","eindigend"
"Enforce Strong Customer Authentication for Every Payment","Dwing sterke klantauthenticatie af voor elke betaling"
"Environment Mode","Omgevingsmodus"
"expires","verloopt"
"Fallback Timeout Limit","Time-outlimiet voor fallback"
"Fallback Timeout","Time-out voor fallback"
"Final Authorization","Definitieve autorisatie"
"For extension support, please, visit the <a href=""%1"" target=""_blank"">support site</a>.","Ga voor extensieondersteuning naar de <a href=""%1"" target=""_blank"">ondersteuningssite</a>."
"Fraud Information","Fraude informatie"
"General Information","Algemene informatie"
"General","Algemeen"
"Get in touch","Neem contact op"
"Get surcharge amount","Krijg toeslagbedrag"
"Go to Configuration > Technical information > API settings > Webhooks Configuration","Ga naar Configuration > Technical information > API instellingen > Webhooks Configuration"
"Hosted Checkout (Redirect to Worldline)","Gehost afrekenen"
"HTML Template ID","ID van HTML-template"
"If the payment process is failed, change the order status after the specified time in ""Fallback Timeout"" till the value specified in this field.<br/>In other words, the request will be executed during the specified time limit.","Als het betalingsproces is mislukt, verlengt u de bestellingsstatus na de in ""Fallback Timeout"" opgegeven tijd tot de in dit veld opgegeven waarde.<br/>Met andere woorden, het verzoek wordt uitgevoerd gedurende de opgegeven periode."
"If the payment process is failed, change the order status after the specified time.","Als het betalingsproces is mislukt, wijzigt u de bestellingsstatus na de opgegeven tijd."
"If the setting is enabled and the sum of the order is below 30 euros, the customer won’t be asked to go through 3DS auth.","Se l'impostazione è attivata e l'importo dell'ordine è inferiore a 30 euro, al cliente non verrà chiesto di passare attraverso l'autenticazione 3DS."
"If you want to leave any feature suggestions, feel free to fill in the form.","Als u een nieuwe functie wilt voorstellen, vul dan gerust het formulier in!"
"If you would like to propose a new feature, feel free to fill in the form.","Als u een nieuwe functie wilt voorstellen, vul dan gerust het formulier in."
"In ""Endpoints URLs"", paste the Webhooks URL of your store - see below","Plak in ""Endpoints URLs"" de Webhooks-URL van uw winkel – zie hieronder"
"Increase conversion rates by offering your customers their preferred methods of payment. Implement the best payment solutions quickly, while addressing key needs such as fraud prevention, data analytics, security, and compliance, whether local or cross-border.","Verhoog de conversie door uw klanten hun favoriete betaalmethoden aan te bieden. Implementeer snel de beste betaaloplossingen, terwijl u tegemoet komt aan belangrijke behoeften zoals fraudepreventie, gegevensanalyse, beveiliging en compliance, zowel lokaal als grensoverschrijdend."
"JCB","JCB"
"Key","Sleutel"
"label","label"
"Maestro","Maestro"
"Magento Version","Magento versie"
"Mastercard","Mastercard"
"Maximum Order Total","Maximaal ordertotaal"
"Merchant ID (PSPID)","ID van handelaar (PSPID)"
"Message","Bericht"
"Message","Bericht"
"Minimum Order Total","Minimaal ordertotaal"
"No authorization transaction to proceed capture.","Geen autorisatietransactie om verder te gaan met vastlegging."
"No payment method","Geen betaalmethode"
"No public_hash provided","Geen public_hash opgegeven"
"No","Nee"
"Not AJAX","Niet AJAX"
"Order %1 - Check the payment","Bestel XXXX - Controleer de betaling"
"Order processed successfully by webhook. WorldLine status: %1.","Order succesvol verwerkt door webhook. WorldLine-status: %1."
"Order Status Updater","Bestellingsstatusupdater"
"Payment Action","Betaalactie"
"Payment from Applicable Countries","Betaling van toepasselijke landen"
"Payment from Applicable Currencies","Betaling van toepasselijke munteenheden"
"Payment from Applicable Customer Groups","Betaling van toepasselijke klantengroepen"
"Payment from Specific Countries","Betaling van specifieke landen"
"Payment from Specific Currencies","Betaling van specifieke munteenheden"
"Payment from Specific Customer Groups","Betaling van specifieke klantengroepen"
"Payment Methods","Betaalmethoden"
"Place Order","Order plaatsen"
"Please <a href=""%1"">Contact us</a> in case you don\'t receive the confirmation within %2 minutes.","Aarzel niet om <a href=""%1"">contact met ons</a> op te nemen als u deze e-mail niet binnen %2 minuten ontvangt."
"Please correct the sent data.","Verbeter de verzonden gegevens."
"Please explain how our payment plugin can be further improved","Leg uit hoe onze betalingsplug-in verder kan worden verbeterd"
"Please note that 3-D Secure and PWA settings can now be <a href=""%1"">configured globally</a> for all Worldline payment methods. Feel free to review these if needed.","Houd er rekening mee dat 3-D Secure-instellingen nu wereldwijd kunnen worden <a href=""%1"">geconfigureerd</a> voor alle Worldline-betaalmethoden. Bekijk deze indien nodig gerust."
"Please note that a surcharge may be added to the amount you have to pay depending on the payment method you have chosen.","Houd er rekening mee dat er een toeslag kan worden toegevoegd aan het bedrag dat u moet betalen, afhankelijk van de door u gekozen betaalmethode."
"Please use one of the following extensions : html, htm, dhtml","Gebruik een van de volgende extensies : html, htm, dhtml"
"Please wait, the payment is being processed...","Even geduld, de betaling wordt verwerkt..."
"Please, <a href=""%1"">click here</a> to proceed.","<a href=""%1"">Klik hier</a> om verder te gaan."
"Plugin Version","Plugin versie"
"Pre-Authorization","Preautorisatie"
"Production API URL","URL van productie-API"
"Production","Productie"
"Request 3DS Exemption","3DS-vrijstelling aanvragen"
"Request a new feature","Vraag een nieuwe functie aan"
"Request Authentication Exemption for Low-value Baskets","Verzoek om authenticatievrijstelling voor mandjes met een lage waarde"
"Required parameter ""worldline"" for ""payment_method"" is missing.","Vereiste parameter ""worldline"" voor ""payment_method"" ontbreekt."
"Saved Payment Sort order","Sorteervolgorde van opgeslagen betalingen"
"Saved Payment Title","Titel van opgeslagen betaling"
"Schedule (Cron Syntax)","Schema (cron syntax)"
"Secret Key","Geheime sleutel"
"Should be set only if you use PWA Studio or any other 3rd party frontend.","Deze moet alleen worden ingesteld als u PWA Studio gebruikt of een andere externe frontend."
"Skip 3DSecure Authentication","3Dsecure-authenticatie overslaan"
"Skip 3DSecure Authentication","3DSecure-authenticatie overslaan"
"Sorry, but something went wrong","Er is helaas iets misgegaan."
"Sort","Sorteren"
"Specific Countries","Specifieke landen"
"Specific Currencies","Specifieke munteenheden"
"Specific Customer Groups","Specifieke klantengroepen"
"Specify fallback timeout in minutes.","Geef de fallback-timeout op in minuten."
"Specify fallback timeout limit in hours.","Geef de fallback-timeoutlimiet op in uren."
