"<a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","<a href=""http://crontab.guru/"" target=""_blank"">Benötigen Sie Hilfe?</a>"
"Abandoned Orders","Abgebrochene Aufträge"
"About Worldline","Über Worldline"
"Activating this option allows the issuer of the customer card to request the 3-D Secure process to be triggered. This means that both the challenge flow (where strong customer authentication is needed) and the frictionless flow (where the issuing bank will take full liability) can be triggered.","Wenn Sie diese Option aktivieren, wird der Aussteller aufgefordert, während des 3-D Secure-Prozesses immer einen Challenge-Flow durchzuführen."
"Activating this option will request the issuer to always go for a challenge flow during the 3-D Secure process.","Wenn Sie diese Option aktivieren, wird der Aussteller aufgefordert, während des 3-D Secure-Prozesses immer einen Challenge-Flow durchzuführen."
"Activating this option will request to issuer not to request a strong customer authentication for the payment if the value of the basket is below 30 EUR. This exemption can only be requested for EU customers, as it is linked to the PSD2 European regulation. Note that activating this option will transfer the liability to you, as a merchant, in case of fraud.","Durch Aktivieren dieser Option wird der Aussteller aufgefordert, keine starke Kundenauthentifizierung für die Zahlung anzufordern, wenn der Wert des Warenkorbs unter 30 EUR liegt. Diese Ausnahme kann nur für EU-Kunden beantragt werden, da sie mit der europäischen PSD2-Verordnung verknüpft ist. Beachten Sie, dass die Aktivierung dieser Option im Falle eines Betrugs die Haftung auf Sie als Händler überträgt."
"All Allowed Countries","Alle zugelassenen Länder"
"All Allowed Currencies","Alle zulässigen Währungen"
"All Allowed Customer Groups","Alle zulässigen Kundengruppen"
"American Express","American Express"
"and perform the following steps:","und führen Sie die folgenden Schritte aus:"
"API Key","API-Schlüssel"
"API Secret","API-Geheimnis"
"Apply Surcharge","Zuschlag Anwenden"
"Are you sure you want to do this? All webhook data will be removed.","Sind Sie sicher, dass Sie dies tun möchten? Alle Webhook-Daten werden entfernt."
"Attention","Achtung"
"Authorization Mode","Autorisierungsmodus"
"Authorize & Capture","Autorisieren und erfassen"
"Authorize","Autorisieren"
"Auto cancellation of orders that are stuck in the payment review status after the specified time. The time is in minutes.","Automatische Stornierung von Aufträgen, die nach der angegebenen Zeit im Status der Zahlungsprüfung stecken bleiben. Die Zeit wird in Minuten angegeben."
"Available Credit Card Types","Verfügbare Kreditkartentypen"
"Browse our API reference, our documentation and keep yourself up to date with the latest payment trends.","Stöbern Sie in unserer API-Referenz, unserer Dokumentation und halten Sie sich über die neuesten Zahlungstrends auf dem Laufenden."
"Carte Bancaire","Carte Bancaire"
"Check for updates","Auf Aktualisierungen prüfen"
"Check out documentation","Dokumentation ansehen"
"Click on ""GENERATE WEBHOOKS API KEY""","Klicken Sie auf ""WEBHOOKS-API-SCHLÜSSEL GENERIEREN""."
"Click on ""SAVE"" to confirm your settings","Klicken Sie auf ""SPEICHERN"", um Ihre Einstellungen zu bestätigen."
"Click on the link to <a href=""%1"">ignore this notification</a>","Klicken Sie auf den Link zu <a href=""%1"">ignorieren Sie diese Benachrichtigung</a>"
"Code eci: %1","eci-Code: %1"
"Company Name","Firmenname"
"Company Name","Firmenname"
"Connection failed! Test again?","Verbindung fehlgeschlagen! Nochmal testen?"
"Connection","Verbindung"
"Contact our sales team","Kontaktieren Sie unser Vertriebsteam"
"Copy & Paste the WebhooksKeySecret immediately","Kopieren Sie das WebhooksKeySecret und fügen Sie es ein."
"Create a test account","Ein Testkonto erstellen"
"Credit Cards (iFrame)","Kreditkarte"
"Custom Return URL","Benutzerdefinierte Return-URL"
"Debug","Debug"
"Debug","Debuggen"
"Default Order Status","Voreingestellter Auftragsstatus"
"Default value: every 5 minutes. <a href=""http://crontab.guru/"" target=""_blank"">Need help?</a>","Standardwert: Alle 5 Minuten. <a href=""http://crontab.guru/"" target=""_blank"">Benötigen Sie Hilfe?</a>"
"Diners Club","Diners Club"
"Enable 3-D Secure Authentication","Aktivieren Sie die 3-D Secure-Authentifizierung"
"Enable Module","Modul aktivieren"
"Enable Payment","Zahlung aktivieren"
"Enable Saved Payment (Vault)","Gespeicherte Zahlung aktivieren (Tresor)"
"Enable Vault for Card Payments","Tresor für Kartenzahlungen aktivieren"
"Enabling this option will make sure the customer performs a “Strong Customer Authentication” and hence enforces a “challenge” 3DS flow.","Durch Aktivieren dieser Option wird sichergestellt, dass der Kunde eine „Strong Customer Authentication“ durchführt und somit einen „Challenge“-3DS-Flow erzwingt."
"ending","endet"
"Enforce Strong Customer Authentication for Every Payment","Erzwingen Sie eine starke Kundenauthentifizierung für jede Zahlung"
"Environment Mode","Umgebungsmodus"
"expires","läuft aus"
"Fallback Timeout Limit","Fallback-Timeout-Limit"
"Fallback Timeout","Fallback-Timeout"
"Final Authorization","Endgültige Autorisierung"
"Fraud Information","Betrugsinformationen"
"General Information","Allgemeine Informationen"
"General","Allgemeines"
"Get in touch","Kontaktieren Sie uns"
"Get surcharge amount","Zuschlagsbetrag erhalten"
